[2020-04-05 17:09:56.825718] Update: 310 / 1953, Frames: 318464, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.004,VL: 0.014, Ent: 2.004
[2020-04-05 17:12:56.016621] Update: 320 / 1953, Frames: 328704, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.011,VL: 0.021, Ent: 2.026
[2020-04-05 17:15:45.709303] Update: 330 / 1953, Frames: 338944, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.029, Ent: 2.292
[2020-04-05 17:18:32.626887] Update: 340 / 1953, Frames: 349184, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.023,VL: 0.001, Ent: 1.930
[2020-04-05 17:21:20.916199] Update: 350 / 1953, Frames: 359424, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.003, Ent: 2.430
[2020-04-05 17:24:08.553790] Update: 360 / 1953, Frames: 369664, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.024,VL: 0.009, Ent: 2.037
[2020-04-05 17:26:55.661865] Update: 370 / 1953, Frames: 379904, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.015,VL: 0.011, Ent: 2.040
[2020-04-05 17:29:44.733961] Update: 380 / 1953, Frames: 390144, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.023,VL: 0.023, Ent: 2.001
[2020-04-05 17:32:48.082934] Update: 390 / 1953, Frames: 400384, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.016, Ent: 2.005
[2020-04-05 17:35:47.950605] Update: 400 / 1953, Frames: 410624, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.042,VL: 0.016, Ent: 1.696
[2020-04-05 17:38:54.058281] Update: 410 / 1953, Frames: 420864, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.012,VL: 0.032, Ent: 1.676
[2020-04-05 17:41:58.621443] Update: 420 / 1953, Frames: 431104, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.025,VL: 0.001, Ent: 1.805
[2020-04-05 17:45:06.322553] Update: 430 / 1953, Frames: 441344, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.014,VL: 0.004, Ent: 1.918
[2020-04-05 17:48:12.762307] Update: 440 / 1953, Frames: 451584, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.048,VL: 0.001, Ent: 1.995
[2020-04-05 17:51:16.246266] Update: 450 / 1953, Frames: 461824, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.002,VL: 0.014, Ent: 2.052
[2020-04-05 17:54:19.391365] Update: 460 / 1953, Frames: 472064, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.034,VL: 0.021, Ent: 1.876
[2020-04-05 17:57:26.129778] Update: 470 / 1953, Frames: 482304, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.000,VL: 0.001, Ent: 1.688
[2020-04-05 18:00:35.862916] Update: 480 / 1953, Frames: 492544, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.032,VL: 0.011, Ent: 1.955
[2020-04-05 18:03:42.929941] Update: 490 / 1953, Frames: 502784, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.016,VL: 0.006, Ent: 2.193
[2020-04-05 18:06:47.464287] Update: 500 / 1953, Frames: 513024, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.007,VL: 0.008, Ent: 2.078
[2020-04-05 18:09:52.901076] Update: 510 / 1953, Frames: 523264, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.015,VL: 0.013, Ent: 2.068
[2020-04-05 18:12:56.265033] Update: 520 / 1953, Frames: 533504, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.043,VL: 0.011, Ent: 2.272
[2020-04-05 18:15:59.681047] Update: 530 / 1953, Frames: 543744, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: 0.021,VL: 0.012, Ent: 2.247
[2020-04-05 18:19:02.503594] Update: 540 / 1953, Frames: 553984, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.041,VL: 0.008, Ent: 2.297
[2020-04-05 18:22:07.212640] Update: 550 / 1953, Frames: 564224, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.022,VL: 0.021, Ent: 2.427
[2020-04-05 18:25:15.084313] Update: 560 / 1953, Frames: 574464, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.033,VL: 0.023, Ent: 2.211
